City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Mandalgovi,MN,45.7625,106.2708,64.76,40,34,27.47,scattered clouds
203,Salalah,OM,17.0151,54.0924,75.29,94,100,6.91,overcast clouds
204,Buala,SB,-8.145,159.5921,84.0,70,94,1.88,light rain
205,Coihaique,CL,-45.5752,-72.0662,24.75,100,20,3.44,few clouds
206,Buta,CD,2.7858,24.73,69.46,99,100,2.06,overcast clouds
207,Port Lincoln,AU,-34.7333,135.8667,60.15,55,100,14.88,light rain
208,Abu Dhabi,AE,24.4667,54.3667,98.71,60,0,2.3,clear sky
209,Victoria,HK,22.2855,114.1577,94.24,70,0,5.01,clear sky
210,Leningradskiy,RU,69.3833,178.4167,34.83,98,100,5.61,overcast clouds
211,Mar Del Plata,AR,-38.0023,-57.5575,48.09,74,0,9.22,clear sky
212,Nemuro,JP,43.3236,145.575,62.17,81,18,5.61,few clouds
213,Rabo De Peixe,PT,37.8,-25.5833,68.27,75,20,3.44,few clouds
214,Road Town,VG,18.4167,-64.6167,80.69,78,25,18.75,scattered clouds
215,San Carlos,VE,9.6612,-68.5827,71.96,97,40,2.46,scattered clouds
216,Ambilobe,MG,-13.2,49.05,68.05,64,1,4.61,clear sky
217,Juneau,US,58.3019,-134.4197,59.22,95,100,11.5,overcast clouds
218,Torbay,CA,47.6666,-52.7314,61.57,86,75,2.3,broken clouds
219,Carlsbad,US,33.1581,-117.3506,74.64,85,0,8.05,clear sky
220,Anuradhapura,LK,8.3565,80.4173,83.08,73,90,14.18,overcast clouds
221,Tuktoyaktuk,CA,69.4541,-133.0374,59.0,82,75,10.36,broken clouds
222,Tiarei,PF,-17.5333,-149.3333,78.82,77,23,12.73,light rain
223,Mizque,BO,-17.941,-65.3402,58.19,32,15,5.12,few clouds
224,Zwedru,LR,6.0667,-8.1281,67.84,97,90,0.85,overcast clouds
225,Salinas,US,36.6777,-121.6555,69.49,79,75,13.8,broken clouds
226,Naryan-Mar,RU,67.6713,53.087,51.93,59,64,8.57,broken clouds
227,Kavaratti,IN,10.5669,72.642,80.98,80,100,21.34,overcast clouds
228,Mount Gambier,AU,-37.8333,140.7667,56.55,68,100,12.03,light rain
229,Mana,GF,5.6592,-53.7767,76.77,88,78,7.23,broken clouds
230,Carnarvon,AU,-24.8667,113.6333,67.17,48,0,17.87,clear sky
231,Ixtapa,MX,20.7,-105.2,80.02,94,54,2.24,broken clouds
232,Buin,CL,-33.7333,-70.75,62.87,58,0,2.77,clear sky
233,Cabo San Lucas,MX,22.8909,-109.9124,90.7,71,2,10.78,clear sky
234,Bindi,SL,9.9167,-11.45,70.12,99,96,2.33,light rain
235,Nanortalik,GL,60.1432,-45.2371,47.26,84,4,2.98,clear sky
236,Sitka,US,57.0531,-135.33,55.29,88,100,3.44,light intensity drizzle
237,Shirgaon,IN,19.7,72.7,82.89,76,100,11.9,overcast clouds
238,Namibe,AO,-15.1961,12.1522,60.49,90,0,3.83,clear sky
239,Kirn,DE,49.7833,7.45,59.81,88,6,3.44,clear sky
240,Oksfjord,NO,70.2396,22.3479,55.47,84,85,1.25,overcast clouds
241,Giyani,ZA,-23.3025,30.7187,59.09,88,69,2.48,broken clouds
242,Ribeira Grande,PT,38.5167,-28.7,72.25,88,39,3.49,scattered clouds
243,Nioro,GM,13.35,-15.75,74.91,95,100,3.31,heavy intensity rain
244,Thinadhoo,MV,0.5333,72.9333,79.57,83,100,20.54,overcast clouds
245,Eregli,TR,37.5133,34.0467,65.12,38,0,1.68,clear sky
246,Bilma,NE,18.6853,12.9164,87.49,36,82,6.49,broken clouds
247,Acapulco,MX,16.8634,-99.8901,84.02,79,20,3.44,few clouds
248,Medea,DZ,36.2642,2.7539,70.86,40,0,1.25,clear sky
249,Cayenne,GF,4.9333,-52.3333,79.09,1,100,2.3,overcast clouds
250,Floro,NO,61.5996,5.0328,53.56,71,75,12.66,broken clouds
251,Praia,CV,14.9215,-23.5087,77.54,78,75,4.61,broken clouds
252,Klaksvik,FO,62.2266,-6.589,45.52,87,84,8.34,broken clouds
253,Hofn,IS,64.2539,-15.2082,51.96,77,18,3.24,few clouds
254,Praya,CV,14.9215,-23.5087,77.54,78,75,4.61,broken clouds
255,Banes,CU,20.9625,-75.7186,79.47,87,81,10.76,broken clouds
256,Gualaco,HN,15.05,-86.05,68.47,96,81,1.32,broken clouds
257,San Cristobal,VE,7.7669,-72.225,73.58,97,98,3.47,overcast clouds
258,Qandala,SO,11.472,49.8728,88.99,42,40,8.41,scattered clouds
259,Pemangkat,ID,1.1667,108.9667,80.73,79,100,11.81,overcast clouds
260,Karangampel,ID,-6.4622,108.4519,85.87,61,72,11.5,broken clouds
261,Banyo,CM,6.75,11.8167,64.72,99,100,1.41,moderate rain
262,Date,JP,42.4681,140.8681,72.16,78,100,5.95,overcast clouds
263,Zhigansk,RU,66.7697,123.3711,58.06,94,100,19.08,overcast clouds
264,Karaton,ID,-6.3424,106.1045,87.04,58,58,1.95,broken clouds
265,Mbour,SN,14.422,-16.9638,77.85,87,100,2.68,moderate rain
266,Mahebourg,MU,-20.4081,57.7,70.25,70,71,16.73,light rain
267,Saint-Ambroise,CA,48.5501,-71.3324,70.34,94,68,5.75,broken clouds
268,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,51.17,92,98,4.88,overcast clouds
269,Correntina,BR,-13.3433,-44.6367,62.96,53,0,3.62,clear sky
270,Mahon,ES,39.8885,4.2658,73.96,94,0,2.3,clear sky
271,Morondava,MG,-20.2833,44.2833,63.41,72,0,8.37,clear sky
272,Eureka,US,40.8021,-124.1637,61.41,80,48,7.0,scattered clouds
273,Kabo,CF,7.6994,18.629,70.02,99,100,2.62,moderate rain
274,Mecca,SA,21.4267,39.8261,83.37,59,5,4.83,clear sky
275,Penalva,BR,-3.2942,-45.1736,71.22,78,10,2.8,clear sky
276,Kuusamo,FI,65.9667,29.1833,66.24,77,0,4.61,clear sky
277,Chapais,CA,49.7834,-74.8492,62.38,97,100,11.68,overcast clouds
278,Hambantota,LK,6.1241,81.1185,82.74,83,20,11.5,few clouds
279,Bonavista,CA,48.6499,-53.1147,55.4,94,95,1.68,overcast clouds
280,Kloulklubed,PW,7.0419,134.2556,82.9,75,64,4.65,broken clouds
281,Isangel,VU,-19.55,169.2667,82.51,69,17,8.05,few clouds
282,Dehloran,IR,32.6941,47.2679,102.0,11,0,6.49,clear sky
283,Phangnga,TH,8.4509,98.5298,86.04,64,100,3.83,overcast clouds
284,Buraydah,SA,26.326,43.975,82.85,11,67,3.94,broken clouds
285,Fort Nelson,CA,58.8053,-122.7002,65.79,48,40,5.75,scattered clouds
286,Jurado,CO,7.1053,-77.7641,76.37,91,100,3.71,light rain
287,Acari,PE,-15.4311,-74.6158,61.68,83,24,3.31,few clouds
288,Dauphin,CA,51.1494,-100.0502,68.14,64,0,10.36,clear sky
289,Halifax,CA,44.6453,-63.5724,67.51,96,71,8.05,broken clouds
290,Moses Lake,US,47.1301,-119.2781,89.96,23,0,6.91,clear sky
291,Olafsvik,IS,64.8945,-23.7142,51.55,92,100,4.23,overcast clouds
292,Nuuk,GL,64.1835,-51.7216,54.21,71,100,5.75,overcast clouds
293,Mangai,CD,-4.05,19.5333,67.48,86,51,1.1,broken clouds
294,Namatanai,PG,-3.6667,152.4333,84.6,67,87,7.2,overcast clouds
295,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,94,0,2.35,clear sky
296,Ertil,RU,51.8406,40.8056,55.92,96,100,4.74,light rain
297,Myitkyina,MM,25.3833,97.4,84.6,73,97,2.04,overcast clouds
298,Codrington,AU,-38.2667,141.9667,58.78,68,100,13.51,light rain
299,Marienburg,PL,54.0359,19.0266,69.12,79,58,3.76,broken clouds
300,Dalvik,IS,65.9702,-18.5286,48.13,88,99,2.89,overcast clouds
301,Soderhamn,SE,61.3037,17.0592,59.95,89,100,13.56,light rain
302,Dingle,PH,10.9995,122.6711,87.66,70,43,8.48,scattered clouds
303,Misratah,LY,32.3754,15.0925,77.58,63,0,3.15,clear sky
304,Patos,BR,-7.0244,-37.28,72.25,73,90,7.87,overcast clouds
305,Ahipara,NZ,-35.1667,173.1667,57.94,69,99,6.24,overcast clouds
306,Hermiston,US,45.8404,-119.2895,90.25,24,0,12.66,clear sky
307,Prainha,BR,-1.8,-53.48,74.59,81,29,2.8,scattered clouds
308,Abnub,EG,27.2696,31.1511,77.22,44,2,8.93,clear sky
309,Porosozero,RU,62.7191,32.727,67.21,67,99,5.82,overcast clouds
310,Lazurne,UA,46.084,32.5295,70.95,59,0,12.86,clear sky
311,Geraldton,AU,-28.7667,114.6,63.01,77,100,11.5,overcast clouds
312,Yar-Sale,RU,66.8333,70.8333,43.72,92,100,13.2,light rain
313,Richards Bay,ZA,-28.783,32.0377,64.94,85,92,5.64,light rain
314,Jacareacanga,BR,-6.2222,-57.7528,77.2,56,59,2.28,broken clouds
315,Ormara,PK,25.2088,64.6357,83.75,83,93,9.55,overcast clouds
316,Big Spring,US,32.2504,-101.4787,81.59,48,12,14.58,few clouds
317,Sheboygan,US,43.7333,-87.9334,73.38,63,0,5.75,clear sky
318,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.19,88,4,6.35,clear sky
319,Hohhot,CN,40.8106,111.6522,62.89,82,75,6.71,broken clouds
320,Kodiak,US,57.79,-152.4072,54.91,76,100,0.0,overcast clouds
321,Arti,RU,56.4234,58.5328,62.49,77,8,6.11,clear sky
322,Eirunepe,BR,-6.6603,-69.8736,76.33,75,92,2.89,overcast clouds
323,Mendi,PG,-6.1761,143.6513,63.66,90,58,3.38,broken clouds
324,Morgan City,US,29.6994,-91.2068,79.0,81,43,4.7,scattered clouds
325,Prince Rupert,CA,54.3161,-130.3201,60.49,88,0,16.11,clear sky
326,Karlskrona,SE,56.1616,15.5866,61.25,92,97,7.74,overcast clouds
327,Yumen,CN,40.2833,97.2,80.24,17,0,10.4,clear sky
328,Taoudenni,ML,22.6783,-3.9836,89.89,42,21,6.85,few clouds
329,Udachnyy,RU,66.4167,112.4,55.45,93,100,9.55,overcast clouds
330,Wundanyi,KE,-3.4019,38.364,53.69,90,19,5.79,few clouds
331,Pevek,RU,69.7008,170.3133,31.64,100,100,9.33,snow
332,Esperance,AU,-33.8667,121.9,58.84,68,51,18.75,broken clouds
333,Mount Isa,AU,-20.7333,139.5,69.57,14,0,6.91,clear sky
334,Zyryanka,RU,65.75,150.85,66.79,37,3,1.21,clear sky
335,Beloha,MG,-25.1667,45.05,61.99,76,0,4.94,clear sky
336,Pitiquito,MX,30.7,-112.0833,94.64,35,3,13.98,clear sky
337,Banjarmasin,ID,-3.3244,114.591,77.14,61,100,3.44,light rain
338,Rio De Janeiro,BR,-22.9028,-43.2075,71.55,100,0,3.44,clear sky
339,Biak,ID,-0.9131,122.8766,81.05,76,41,8.99,scattered clouds
340,Funtua,NG,11.5233,7.3081,69.87,86,46,3.53,scattered clouds
341,Hualmay,PE,-11.0964,-77.6139,60.44,86,8,11.01,clear sky
342,Country Club,US,25.9482,-80.317,85.01,75,0,8.05,clear sky
343,Jardim,BR,-21.4803,-56.1381,69.62,48,77,2.68,broken clouds
344,Chernyshevskiy,RU,63.0128,112.4714,72.09,50,19,6.53,light rain
345,Weligama,LK,5.9667,80.4167,81.16,82,100,13.78,overcast clouds
346,Abilene,US,32.4487,-99.7331,82.78,57,0,8.05,clear sky
